Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Text,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Mktplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Health,Nutrition,Advanced brain & body fitness,4,,Maintenance,191,,Tailored supplements,Start taking nutritional supplements,Sign up to find the right nutritional supplement for you and start taking daily for a month to build a habit.,,Sign me up,UK,Daily,Healthspan,https://www.healthspan.co.uk/over-50s-health#t=Over-50s-Health-Products&numberOfResults=15,50-99,All,All,https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society/article/encouraging-appropriate-evidencebased-use-of-oral-nutritional-supplements/4BC89D90403D3E5473066C3633D4B088,,Healthspan,Company,https://www.healthspan.co.uk/over-50s-health#t=Over-50s-Health-Products&numberOfResults=15,Online,N/A,Paid,YES(NSU),None,,,2.1,https://uk.trustpilot.com/review/www.healthspan.co.uk,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Nutrition,Advanced brain & body fitness,4,3,Development,192,193,Tailored supplements,Find out how to meet your nutritional requirements,Healthspan offers a wide variety of vitamins and supplements tailored specifically to men's health and wellbeing.,"Supplementation is intended to bridge this nutritional gap, so that we maintain the proper balance of nutrients from food and supplementation. This will enhance the nutrient density of your diet and make sure you are obtaining the right amount of nutrients tailored to your dietary needs.",Do,UK,,,,0-49,Male,All,https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society/article/encouraging-appropriate-evidencebased-use-of-oral-nutritional-supplements/4BC89D90403D3E5473066C3633D4B088,,Healthspan,Company,https://www.healthspan.co.uk/mens-health#t=Mens-Health-Products&numberOfResults=15,Online,N/A,Paid,YES(NSU),None,,,2.1,https://uk.trustpilot.com/review/www.healthspan.co.uk,N/A,Annual,,AZ big media,Content writer,https://azbigmedia.com/lifestyle/12-benefits-of-supplements-why-theyre-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Healthline,Content writer,https://www.healthline.com/nutrition/best-multivitamins-for-men,Online,N/A,Free,??,None,,,1.5,https://uk.trustpilot.com/review/www.healthline.com,N/A,6 montly,,,,,,,,,,,,,,,,
Health,Nutrition,Advanced brain & body fitness,4,,Maintenance,193,,Tailored supplements,Start taking nutritional supplements,Sign up to find the right nutritional supplement for you and start taking daily for a month to build a habit.,,Sign me up,UK,Daily,Healthspan,https://www.healthspan.co.uk/mens-health#t=Mens-Health-Products&numberOfResults=15,0-49,Male,All,https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society/article/encouraging-appropriate-evidencebased-use-of-oral-nutritional-supplements/4BC89D90403D3E5473066C3633D4B088,,Healthspan,Company,https://www.healthspan.co.uk/mens-health#t=Mens-Health-Products&numberOfResults=15,Online,N/A,Paid,YES(NSU),None,,,2.1,https://uk.trustpilot.com/review/www.healthspan.co.uk,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Optimal health,5,2,Development,194,195,Peak brain training,An app for complete brain training.,"Challenge your cognitive skills, focus, memory, problem solving, mental agility and more, with these games designed to push you hard with short, intense workouts to fit around your life. ","Brain training turns inactive brain cells into healthy, active ones. The more you use your brain, the better your mental functions become. So, get strengthening your brain daily to start improving your cognitive capabilities.",Do,All,,,,All,All,All,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029676,,Peak,Company,https://www.peak.net/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Mindamate,Company,https://www.mindmate-app.com/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Protectstudy,Charity,https://www.protectstudy.org.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Optimal health,5,,Maintenance,195,,Peak brain training,Practice brain training with daily exercises,Improve your cognitive functioning by doing brain puzzles daily for the next month to help form a brain boosting habit.,,Sign me up,All,Daily,Peak,https://www.peak.net/,All,All,All,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029676,,Peak,Company,https://www.peak.net/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Nutrition,Optimal health,5,1,Development,196,197,Use micronutrients,Micronutrients to help improve health and longevity,"Listen to podcast, talking about the four major categories of micronutrients that improve immune system and longevity and much more. With actionable protocols for obtaining key micronutrients. ","Micronutrients, often referred to as vitamins and minerals, are vital to healthy development, disease prevention, and wellbeing. They have a wide range of functions in the brain and body, from the workings of the nervous system to immune function and bone strength.",Listen,All,,,,All,All,All,https://www.embopress.org/doi/full/10.1038/sj.embor.7400426,,Huberman lab,Company,https://hubermanlab.com/dr-rhonda-patrick-micronutrients-for-health-and-longevity/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Diets meal plan,Company,https://www.dietsmealplan.com/micronutrient/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Super healthy foods,Content writer,https://thesuperhealthyfood.com/micronutrient-diet-plan-for-weight-loss/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Nutrition,Optimal health,5,,Maintenance,197,,Use micronutrients,Start getting all your micronutrient needs met,"Sign up to eat a micronutrient rich meal plan for three months to make it a healthy eating habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",,Sign me up,All,Daily,Diets meal plan,https://www.dietsmealplan.com/micronutrient/,All,All,All,https://www.embopress.org/doi/full/10.1038/sj.embor.7400426,,Diets meal plan,Company,https://www.dietsmealplan.com/micronutrient/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Nutrition,Optimal health,5,3,Development,198,199,Nutritional therapy,Support for a healthier relationship with food,"Nutritional therapy is the practice of using food, supplements and healthy diets, tailored towards helping you reach your health goals through a healthy relationship with food.","Good nutrition is getting the right amount of nutrients in the right combinations to help boost and strengthen our immune system, leading to healthier, more energetic, longer life.",Read/Do,UK,,,,All,All,All,https://europepmc.org/article/med/15658235,,Nutritionist-Resource,Company,https://www.nutritionist-resource.org.uk/,Online,N/A,Free/Paid,??,None,,,3.6,https://uk.trustpilot.com/review/nutritionist-resource.org.uk,N/A,Annual,,Nutrition,Charity,https://www.nutrition.org.uk/putting-it-into-practice/planning/7-day-meal-plan/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Active health,Content writer,https://www.activehealth.sg/read/nutrition/what-is-good-nutrition-and-why-is-it-important,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Nutrition,Optimal health,5,,Maintenance,199,,Nutritional therapy,Start eating a healthy balanced diet,"Follow a healthy balanced diet for three months to make it a healthy eating habit.  It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",,Sign me up,UK,Daily,Nutritionist-Resource,https://www.nutritionist-resource.org.uk/,All,All,All,https://europepmc.org/article/med/15658235,,Nutritionist-Resource,Company,https://www.nutritionist-resource.org.uk/,Online,N/A,Free/Paid,??,None,,,3.6,https://uk.trustpilot.com/review/nutritionist-resource.org.uk,N/A,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Money basics,1,2,Development,200,201,Bills-only account,A simple and easy way to manage money well,"Know all your monthly bills are covered, your yearly expenses are sorted and you know how much you have to spend each month with a separate bills only account.","It’s a simple way to manage your day-to-day expenses without worrying you'll run out of money each month. In addition, you'll soon see where you might be wasting money, giving you more money to spend on the things that are important to you.",Read,UK,,,,All,All,All,,,Your Money Sorted,Content Creator,https://www.yourmoneysorted.co.uk/blog/bills-account-simplest-way-budgeting-ever,Online,n/a,Free/Paid,??,??,,,n/a,n/a,n/a,Quarterly,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/banking/compare-best-bank-accounts/,Online,n/a,Free,n/a,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,MoneyHelper,Government,https://www.moneyhelper.org.uk/en/everyday-money/budgeting/managing-your-money-using-the-jam-jar-approach,Online,n/a,Free,n/a,n/a,,,2.7,https://www.trustpilot.com/review/www.moneyhelper.org.uk,n/a,6 monthly,,,,,,,,,,,,,,,,
Wealth,Manage,Money basics,1,,Maintenance,201,,Bills-only account,Use this simple and easy way to manage money well,Open a bills only account and track your spending regularly so you know exactly how much money you have available to spend each month.,,Sign me up,UK,Weekly,MoneySavingExpert.com,https://www.moneysavingexpert.com/banking/compare-best-bank-accounts/,All,All,All,,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/banking/compare-best-bank-accounts/,Online,n/a,Free,No,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Money basics,1,2,Development,202,203,Manage money,Start at the beginning and get to grips with managing money,Taking the time to manage your money better can really pay off. Learning to budget can help you stay on top of your bills and save.,"It’s a simple way to manage your day-to-day expenses without worrying you'll run out of money each month. In addition, you'll soon see where you might be wasting money, giving you more money to spend on the things that are important to you.",Read,UK,,,,All,All,All,,,MoneyHelper,Government,https://www.moneyhelper.org.uk/en/everyday-money/budgeting/beginners-guide-to-managing-your-money,Online,n/a,Free,No,n/a,,,2.7,https://www.trustpilot.com/review/www.moneyhelper.org.uk,n/a,6 monthly,,Cabot Financial,Company,https://www.cabotfinancial.co.uk/money-management/money-management/what-are-the-benefits-of-budgeting,Online,n/a,Free/Paid,??,??,,,4.4,https://www.trustpilot.com/review/www.cabotfinancial.co.uk,n/a,Annual,,HSBC,Company,https://www.hsbc.co.uk/financial-fitness/everyday-budgeting/spending-your-income/,Online,n/a,Free/paid,n/a,n/a,,,1.4,https://www.trustpilot.com/review/www.hsbc.co.uk,n/a,Annual,,Skint Dad,Content Creator,https://skintdad.co.uk/best-budgeting-app-uk/,Online,n/a,Free,n/a,n/a,,,n/a,n/a,n/a,Quarterly,
Wealth,Manage,Money basics,1,,Maintenance,203,,Manage money,Set yourself a budget and get to grips with managing money,Setting a budget can help you stay on top of your bills and save. Taking the time regularly to manage your money is a great habit to build.,,Sign me up,UK,Weekly,MoneyHelper,https://www.moneyhelper.org.uk/en/everyday-money/budgeting/budget-planner,All,All,All,,,MoneyHelper,Government,https://www.moneyhelper.org.uk/en/everyday-money/budgeting/budget-planner,Online,n/a,Free,No,n/a,,,2.7,https://www.trustpilot.com/review/www.moneyhelper.org.uk,n/a,6 monthly,,Emma,Company,https://emma-app.com/blog/2021/03/10/the-benefits-of-having-multiple-income-streams/,Online,n/a,Free/Paid,??,??,,,3.8,https://www.trustpilot.com/review/emma-app.com,n/a,6 monthly,,Ebay,Company,https://www.ebay.co.uk/sl/sell,Online,n/a,Free/paid,n/a,n/a,,,1.4,https://www.trustpilot.com/review/ebay.co.uk,n/a,Annual,,Best Paid Surveys,Company,https://www.bestpaidsurveys.co.uk/,Online,n/a,Free,n/a,n/a,,,n/a,n/a,n/a,6 monthly,
Wealth,Manage,Savings & protection,2,2,Development,204,205,Boost your income,Read about opportunities to earn a second income,"Learn how to boost your income. There are many ways to earn extra money, whether selling stuff, working from home or using the web.","In the current climate more than one stream of income can help you spread your bets and ensure that we’re always covered financially. Financial security is just one of the benefits of having multiple income streams, it can help you reach your financial goals earlier and build long-term wealth. ",Read,UK,,,,All,All,All,https://www.sunlife.co.uk/siteassets/images/finances-after-50/FAF-Report-2021-FINAL.pdf/,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/family/boost-your-income/,Online,n/a,Free,No,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,,Maintenance,205,,Boost your income,Start earning a second income,"There are many ways to earn extra money, whether selling stuff, working from home or using the web. Set up your side hustle and see if you can make it work and earn some extra money.",,Sign me up,UK,Weekly,MoneySavingExpert.com,https://www.moneysavingexpert.com/family/boost-your-income/,All,All,All,https://www.sunlife.co.uk/siteassets/images/finances-after-50/FAF-Report-2021-FINAL.pdf/,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/family/boost-your-income/,Online,n/a,Free,No,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,3,Development,206,207,Use spending rules,The 50-30-20 rule is a way to help manage your spending,Find out how this simple rule to share out your income can help you create some great spending habits.,This simple budgeting method requires less tracking than many others as it only gives you three categories to think about. It's also flexible as you can allocate monies within the categories as you need and provides budget for more of the things you want.,Read,UK,,,,All,All,All,,,HSBC,Company,https://www.hsbc.co.uk/financial-fitness/everyday-budgeting/spending-your-income/,Online,n/a,Free/paid,??,??,,,1.4,https://www.trustpilot.com/review/www.hsbc.co.uk,n/a,Annual,,Moneyfit,Company,https://www.moneyfit.org/50-30-20-budget-calculator/,Online,n/a,Free,n/a,n/a,,,n/a,n/a,n/a,6 monthly,,Cabot Financial,Company,https://www.cabotfinancial.co.uk/money-management/money-management/what-are-the-benefits-of-budgeting,Online,n/a,Free/Paid,??,??,,,4.4,https://www.trustpilot.com/review/www.cabotfinancial.co.uk,n/a,Annual,,Indeed,Company,https://www.indeed.com/career-advice/career-development/budget-strategy,Online,n/a,Free,n/a,n/a,,,2.3,https://www.trustpilot.com/review/www.indeed.com,n/a,6 monthly,
Wealth,Manage,Savings & protection,2,,Maintenance,207,,Use spending rules,Use the 50-30-20 rule to help manage your spending,Using this simple rule to share out your income can help you create some great spending habits. Managing it weekly and start to see the benefits.,,Sign me up,UK,Weekly,HSBC,https://www.hsbc.co.uk/financial-fitness/everyday-budgeting/spending-your-income/,All,All,All,,,HSBC,Company,https://www.hsbc.co.uk/financial-fitness/everyday-budgeting/spending-your-income/,Online,n/a,Free/paid,??,??,,,1.4,https://www.trustpilot.com/review/www.hsbc.co.uk,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,3,Development,208,209,Pay off debt early,Help in tackling debts head on,If you're juggling several different debts the best thing you could do is to tackle them head-on and get on track to becoming debt-free. But where do you start?,"Debt can cause financial strain whereby high repayments can affect your ability to budget and you end up paying back much more than you borrowed. Also, when debt becomes unmanageable it is closely related to poor physical and mental health and affect current and future financial wellbeing.",Visit site,UK,,,,All,All,All,,,Money.co.uk,Company,https://www.money.co.uk/guides/which-debts-should-you-pay-off-first,Online,n/a,Free,No,n/a,,,4.4,https://www.trustpilot.com/review/www.money.co.uk,n/a,Annual,,Step Change,Charity,https://www.citizensadvice.org.uk/debt-and-money/help-with-debt/dealing-with-your-debts/making-a-plan-to-pay-your-debts/,Online,n/a,Free,n/a,n/a,,,4.5,https://www.trustpilot.com/review/stepchange.org,n/a,Annual,,,,,,,,,,,,,,,,,Clearscore,Company,https://www.clearscore.com/,Online,n/a,Free,n/a,n/a,,,,,,,
Wealth,Manage,Savings & protection,2,,Maintenance,209,,Pay off debt early,Start tackling your debts head on,Tackle your debt head-on and set up a plan to get debt-free. It’s a great start to building good money habits for your future.,,Sign me up,UK,Monthly,Citizens Advice,https://www.citizensadvice.org.uk/debt-and-money/help-with-debt/dealing-with-your-debts/making-a-plan-to-pay-your-debts/,All,All,All,,,Citizens Advice,Company,https://www.citizensadvice.org.uk/debt-and-money/help-with-debt/dealing-with-your-debts/making-a-plan-to-pay-your-debts/,Online,n/a,Free,No,n/a,,,n/a,n/a,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Financial security,3,3,Development,210,211,Maximise savings,Learn about the tax efficient savings accounts,"Make sure you don’t pay more tax than you need to, with this guide to tax-free savings and investments for you and your children or grandchildren.","Since 2016, the personal savings allowance sets an amount of savings interest you can earn without paying tax on that interest. The amount of the allowance depends on much tax you pay, £1,000 in savings interest a year, for a basic rate taxpayer, and £500, for a higher rate taxpayer. ",Read,UK,,,,All,All,"Working, Retired",,,MoneyHelper,Government,https://www.moneyhelper.org.uk/en/savings/types-of-savings/isas-and-other-tax-efficient-ways-to-save-or-invest,Online,n/a,Free,No,n/a,,,2.7,https://www.trustpilot.com/review/www.moneyhelper.org.uk,n/a,6 monthly,,Which?,Company,https://www.which.co.uk/money/savings-and-isas/savings-accounts/how-to-find-the-best-savings-account-aAWTh2N0jTx5,Online,n/a,Free/paid,??,??,,,1.6,https://www.trustpilot.com/review/www.which.co.uk,n/a,6 monthly,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/savings/personal-savings-allowance/,Online,n/a,Free,n/a,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,Moneyfacts.co.uk,Company,https://moneyfactscompare.co.uk/isa/,Online,n/a,Free,n/a,n/a,,,3.2,https://www.trustpilot.com/review/moneyfacts.co.uk,n/a,6 monthly,
Wealth,Manage,Financial security,3,,Maintenance,211,,Maximise savings,Use tax efficient accounts to maximise your savings,Make sure you don’t pay more tax than you need to on your savings and use tax efficients products to keep up the good savings habit for yourself and the next generation.,,Sign me up,UK,Twice yearly,MoneyHelper,https://www.moneyhelper.org.uk/en/savings/types-of-savings/isas-and-other-tax-efficient-ways-to-save-or-invest,All,All,"Working, Retired",,,MoneyHelper,Government,https://www.moneyhelper.org.uk/en/savings/types-of-savings/isas-and-other-tax-efficient-ways-to-save-or-invest,Online,n/a,Free,No,n/a,,,2.7,https://www.trustpilot.com/review/www.moneyhelper.org.uk,n/a,6 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,3,Development,212,213,Pay yourself first,How to set aside money for savings before you pay expenses,"Saving some money each month is important, even if it’s just a little.  There is a psychological boost to seeing your savings or investments grow.","According to research up to a third of adults have none or less than £1,000 in savings. Regular saving provides good financial resilience, making you more likely to cope with loss of income, less anxious about finances, more confident in managing money and more satisfied with life as a whole. ",Read,UK,,,,All,All,All,https://www.fca.org.uk/publications/research/financial-lives,,Monzo,Company,https://monzo.com/blog/2019/06/28/pay-yourself-first-how-to-save-money,Online,n/a,Free/paid,??,??,,,4.3,https://www.trustpilot.com/review/www.monzo.com,n/a,Annual,,MoneyHelper,Government,https://www.moneyhelper.org.uk/en/savings/how-to-save/getting-into-the-savings-habit,Online,n/a,Free,n/a,n/a,,,2.7,https://www.trustpilot.com/review/www.moneyhelper.org.uk,n/a,6 monthly,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/savings/best-regular-savings-accounts/,Online,n/a,Free,n/a,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,Money to the masses,Content Creator,https://moneytothemasses.com/banking/best-savings-apps-in-the-uk-how-to-save-money-using-your-smartphone,Online,n/a,Free,n/a,n/a,,,n/a,n/a,n/a,Quarterly,
Wealth,Manage,Savings & protection,2,,Maintenance,213,,Pay yourself first,Set aside money for savings before you pay other expenses,"Saving some money each month is important, even if it’s just a little.  There is a psychological boost to seeing your savings or investments grow.",,Sign me up,UK,Monthly,MoneySavingExpert.com,https://www.moneysavingexpert.com/savings/best-regular-savings-accounts/,All,All,All,https://www.fca.org.uk/publications/research/financial-lives,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/savings/best-regular-savings-accounts/,Online,n/a,Free,No,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Financial security,3,2,Development,214,215,Manage your savings,Savings platforms may help you achieve better rates,You could manage all your savings in one place through a savings platform. As well as convenience you could access consistently competitive rates from multiple banks and building societies.,Savings platforms offer you the opportunity to manage your savings all in one place. Great of you regularly switch accounts to get better rates as you'll only need to register once to access a range of products from financial institutions.,Read,UK,,,,All,All,"Working, Retired",,,Which?,Company,https://www.which.co.uk/money/savings-and-isas/savings-accounts/what-is-a-savings-platform-ah9112x13r8n,Online,n/a,Free/paid,??,??,,,1.6,https://www.trustpilot.com/review/www.which.co.uk,n/a,6 monthly,,Money to the Masses,Content Creator,https://moneytothemasses.com/saving-for-your-future/investing/best-savings-platforms,Online,n/a,Free,n/a,n/a,,,n/a,n/a,n/a,Quarterly,,Koody,Company,https://www.koody.co/saving/best-money-saving-apps-uk,Online,n/a,Free/paid,??,??,,,n/a,n/a,n/a,Quarterly,,,,,,,,,,,,,,,,
Wealth,Manage,Financial security,3,,Maintenance,215,,Manage your savings,Savings platforms may help you achieve better rates,Manage all your savings in one place through a savings platform for a convenient way to access competitive rates from multiple banks and building societies.,,Sign me up,UK,Quarterly,Which?,https://www.which.co.uk/money/savings-and-isas/savings-accounts/what-is-a-savings-platform-ah9112x13r8n,All,All,"Working, Retired",,,Which?,Company,https://www.which.co.uk/money/savings-and-isas/savings-accounts/what-is-a-savings-platform-ah9112x13r8n,Online,n/a,Free/paid,??,??,,,1.6,https://www.trustpilot.com/review/www.which.co.uk,n/a,6 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Financial independence,4,1,Development,216,,Boost tax efficiency,Use these methods to ensure you're not paying too much tax,One of the simplest methods to make your money go further is to reduce your tax burden. Making even little modifications to your tax situation will save you a lot of money.,It’s no secret that being smart with your money and adopting good money habits can have a positive impact on our everyday lives. Financial wellbeing put simply is all about building a good relationship with money and feeling in control of both your day-to-day finances and long-term goals.,Read,UK,,,,All,All,"Working, Retired",,,Which?,Company,https://www.which.co.uk/money/tax/saving-on-tax/35-ways-to-save-on-tax-a18nb3s9144f,Online,n/a,Free/paid,??,??,,,1.6,https://www.trustpilot.com/review/www.which.co.uk,n/a,6 monthly,,Which?,Company,https://www.which.co.uk/money/savings-and-isas/savings-accounts/how-to-find-the-best-savings-account-aAWTh2N0jTx5,Online,n/a,Free/paid,??,??,,,1.6,https://www.trustpilot.com/review/www.which.co.uk,n/a,6 monthly,,MoneySavingExpert.com,Company,https://www.moneysavingexpert.com/banking/tax-rates/,Online,n/a,Free,n/a,n/a,,,2.1,https://www.trustpilot.com/review/www.moneysavingexpert.com,n/a,6 monthly,,UK Government,Government,https://www.gov.uk/self-assessment-tax-returns,Online,n/a,Free,n/a,n/a,,,n/a,n/a,N/a,Annual,
Wealth,Manage,Financial independence,4,2,Development,217,218,Optimise pensions,Learn about combining your pensions for ease and efficiency,"Understand the advantages, and possible disadvantages, of bringing all your pensions together. ","A key part of retirement planning is understanding what you’ve got and what you need in later life. The average person in the UK changes job every five years, and that means trying to keep track of several different pension plans. Putting it all in one pot can help simplify things. ",Read,UK,,,,40-99,All,Working,,,Which?,Company,https://www.which.co.uk/money/pensions-and-retirement/personal-pensions/should-i-combine-my-pensions-a79863g1pm14#headline_4,Online,n/a,Free/paid,??,??,,,1.6,https://www.trustpilot.com/review/www.which.co.uk,n/a,6 monthly,,Unbiased,Trade Body,https://www.unbiased.co.uk/discover/pensions-retirement/managing-a-pension/combining-your-pensions,Online,n/a,Free,n/a,n/a,,,4.1,https://www.trustpilot.com/review/www.unbiased.co.uk,n/a,Annual,,Standard Life,Company,https://www.standardlife.co.uk/articles/article-page/combining-your-pensions,Online,n/a,Free/paid,??,??,,,1.7,https://www.trustpilot.com/review/www.standardlife.co.uk,n/a,Annual,,PensionBee,Company,https://www.pensionbee.com/,Online,n/a,Paid,??,??,,,4.5,https://www.pensionbee.com/,n/a,Annual,
Wealth,Manage,Financial independence,4,,Maintenance,218,,Optimise pensions,Combine your pensions for ease and efficiency,Bring all you pension pots together and simplify your retirement planning. It could save you money in the long term and your future self will thank you.,,Sign me up,UK,Monthly,Standard Life,https://www.standardlife.co.uk/articles/article-page/combining-your-pensions,40-99,All,Working,,,Standard Life,Company,https://www.standardlife.co.uk/articles/article-page/combining-your-pensions,Online,n/a,Free/paid,??,??,,,1.7,https://www.trustpilot.com/review/www.standardlife.co.uk,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Financial independence,4,3,Development,219,220,Later life care cost,Read about how income and assets can affect fees funding,"When it comes to paying for care in later life, there’s no one size that fits all. How much it costs will depend on various factors, including your levels of wealth & income.",Many families are unprepared for a loved one needing to go into care and are often at crisis point before considering the financial impact. The inevitable anxiety and stress can be eased with more careful advance financial planning and research.,Read,UK,,,,55-99,All,"Working, Retired",,,What Investment,Content Creator,https://www.whatinvestment.co.uk/the-cost-of-care-in-later-life-2621038/,Online,n/a,Free,No,n/a,,,n/a,n/a,n/a,Quarterly,,Age UK,Charity,https://www.ageuk.org.uk/information-advice/care/paying-for-care/,Online,n/a,Free,n/a,n/a,,,1.6,https://www.trustpilot.com/review/ageuk.co.uk,n/a,Annual,,UK Care Guide,Content Creator,https://ukcareguide.co.uk/paying-for-care/,Online,n/a,Free,n/a,n/a,,,4,https://www.trustpilot.com/review/www.ukcareguide.co.uk,n/a,Annual,,,,,,,,,,,,,,,,
Wealth,Manage,Financial independence,4,,Maintenance,220,,Later life care cost,Plan how you are going to fund a potential future care cost,"How much care in later life costs will depend on various factors, including your levels of wealth & income, find an advisor to help you fund future care costs. ",,Sign me up,UK,Monthly,SOLLA,https://societyoflaterlifeadvisers.co.uk/,55-99,All,"Working, Retired",,,SOLLA,Trade Body,https://societyoflaterlifeadvisers.co.uk/,Online,n/a,Free,No,n/a,,,n/a,n/a,n/a,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
